size,stride,ns
4096,4,1.489267
4096,8,0.324822
4096,16,0.158470
4096,32,0.168463
4096,64,0.188892
4096,128,0.239452
4096,256,0.308305
4096,512,0.352757
4096,1024,0.253666
4096,2048,0.804109
8192,4,0.177005
8192,8,0.178916
8192,16,0.167393
8192,32,0.177459
8192,64,0.142213
8192,128,0.176176
8192,256,0.197088
8192,512,0.411975
8192,1024,0.394146
8192,2048,0.223266
8192,4096,0.907008
16384,4,0.010677
16384,8,0.170254
16384,16,0.162383
16384,32,0.176555
16384,64,0.189585
16384,128,0.165245
16384,256,0.175575
16384,512,0.158591
16384,1024,0.339694
16384,2048,0.398555
16384,4096,0.379102
16384,8192,0.895462
32768,4,0.197651
32768,8,0.189445
32768,16,0.171641
32768,32,0.181273
32768,64,0.180659
32768,128,0.149112
32768,256,0.290949
32768,512,0.188371
32768,1024,-0.030443
32768,2048,0.652558
32768,4096,0.842924
32768,8192,0.293308
32768,16384,0.900193
65536,4,0.179025
65536,8,0.192648
65536,16,0.257908
65536,32,0.453956
65536,64,2.482030
65536,128,1.765505
65536,256,1.746125
65536,512,1.716345
65536,1024,3.128044
65536,2048,2.343540
65536,4096,3.898603
65536,8192,0.785686
65536,16384,0.311596
65536,32768,0.864027
131072,4,0.180767
131072,8,0.010368
131072,16,0.263113
131072,32,0.720715
131072,64,1.771804
131072,128,1.714950
131072,256,1.751020
131072,512,1.873303
131072,1024,3.066975
131072,2048,4.660910
131072,4096,6.312165
131072,8192,5.195248
131072,16384,1.206881
131072,32768,0.195833
131072,65536,0.862137
262144,4,0.158261
262144,8,0.194562
262144,16,0.344571
262144,32,0.831137
262144,64,1.956412
262144,128,1.960189
262144,256,2.018763
262144,512,1.722587
262144,1024,5.371019
262144,2048,4.696078
262144,4096,8.584068
262144,8192,6.305337
262144,16384,5.381243
262144,32768,0.806028
262144,65536,0.329191
262144,131072,0.703622
524288,4,0.160819
524288,8,0.222084
524288,16,0.455499
524288,32,1.017341
524288,64,2.391829
524288,128,2.582666
524288,256,2.746567
524288,512,2.193596
524288,1024,3.741247
524288,2048,6.265338
524288,4096,10.313364
524288,8192,8.252935
524288,16384,6.961980
524288,32768,9.153880
524288,65536,0.921476
524288,131072,0.346383
524288,262144,0.711337
1048576,4,0.184939
1048576,8,-0.055162
1048576,16,0.483030
1048576,32,1.075740
1048576,64,2.398446
1048576,128,2.699622
1048576,256,2.844790
1048576,512,2.194348
1048576,1024,3.657182
1048576,2048,6.201348
1048576,4096,10.414570
1048576,8192,9.888663
1048576,16384,8.513637
1048576,32768,6.887622
1048576,65536,6.379621
1048576,131072,0.767079
1048576,262144,0.384043
1048576,524288,0.666997
2097152,4,0.210622
2097152,8,0.253445
2097152,16,0.578514
2097152,32,1.130258
2097152,64,2.399195
2097152,128,4.094080
2097152,256,2.988865
2097152,512,2.397665
2097152,1024,3.830428
2097152,2048,6.323140
2097152,4096,17.328184
2097152,8192,10.629919
2097152,16384,10.334401
2097152,32768,9.041566
2097152,65536,8.181400
2097152,131072,6.063604
2097152,262144,0.772207
2097152,524288,0.073496
2097152,1048576,0.651440
4194304,4,0.449962
4194304,8,0.367162
4194304,16,0.653058
4194304,32,1.391742
4194304,64,3.008273
4194304,128,3.625646
4194304,256,3.756296
4194304,512,2.748303
4194304,1024,7.897490
4194304,2048,6.862884
4194304,4096,11.309584
4194304,8192,10.562702
4194304,16384,10.857030
4194304,32768,10.178780
4194304,65536,9.540172
4194304,131072,7.927329
4194304,262144,6.046237
4194304,524288,0.754682
4194304,1048576,0.301140
4194304,2097152,0.663237
8388608,4,0.346748
8388608,8,0.663501
8388608,16,2.319113
8388608,32,3.961641
8388608,64,7.853889
8388608,128,11.489729
8388608,256,8.497032
8388608,512,7.426373
8388608,1024,6.589681
8388608,2048,14.283703
8388608,4096,20.238494
8388608,8192,18.204449
8388608,16384,16.135619
8388608,32768,20.229653
8388608,65536,14.922532
8388608,131072,13.182450
8388608,262144,7.818190
8388608,524288,5.403776
8388608,1048576,0.756487
8388608,2097152,0.299703
8388608,4194304,0.623734
16777216,4,0.441390
16777216,8,1.429033
16777216,16,2.889358
16777216,32,6.221892
16777216,64,14.106450
16777216,128,19.746562
16777216,256,22.756949
16777216,512,11.908307
16777216,1024,12.165278
16777216,2048,13.658929
16777216,4096,17.728552
16777216,8192,19.836366
16777216,16384,20.084076
16777216,32768,18.564170
16777216,65536,18.344885
16777216,131072,14.805123
16777216,262144,16.757675
16777216,524288,9.559017
16777216,1048576,6.508618
16777216,2097152,0.930106
16777216,4194304,0.453786
16777216,8388608,0.634550
33554432,4,0.542819
33554432,8,1.429711
33554432,16,3.442548
33554432,32,6.580873
33554432,64,14.086195
33554432,128,17.997820
33554432,256,24.328940
33554432,512,18.402561
33554432,1024,16.861699
33554432,2048,21.566751
33554432,4096,25.144509
